T,W,SR,DSP,DRH,PanE,,,,,,,,
0.408839779,0.379258265,0.271563902,0.6,0.726027397,0.186046512,,,DRH,DSP,SR,W,T,y-intercept
0.348066298,0.905185434,0.178494266,0.4,0.684931507,0.337209302,,,-0.510587819,-0.045187609,0.498389371,0.344759233,0.305221895,0.219679504
0.287292818,0.429602282,0.148911418,0.65,0.698630137,0.151162791,,,0.010764391,0.016983219,0.010419117,0.015133703,0.016140098,0.017525673
0.243093923,0.29887565,0.293501745,0.85,0.616438356,0.197674419,,,0.965829123,0.035647429,#N/A,#N/A,#N/A,#N/A
0,0.511495217,0.339205584,0.3,0.219178082,0.453488372,,,1599.781229,283,#N/A,#N/A,#N/A,#N/A
0.049723757,0.305755999,0.329067642,0.7,0.232876712,0.337209302,,,10.16452366,0.359619196,#N/A,#N/A,#N/A,#N/A
0.436464088,0.398388991,0.294831311,0.55,0.835616438,0.197674419,,,,,,,,
0.342541436,0.279744924,0.329566229,0.55,0.753424658,0.174418605,,,,,,,,
0.331491713,0.281423058,0.391058667,0.55,0.739726027,0.220930233,,,,,,,,
0.480662983,0.391508642,0.276217384,0.65,0.876712329,0.151162791,,,T,W,SR,DSP,DRH,PanE
0.436464088,0.150696426,0.555093901,0.65,0.506849315,0.337209302,,,0.408839779,0.379258265,0.271563902,0.6,0.726027397,0.251750698
0.414364641,0.207249539,0.01927871,0.45,1,0,,,0.348066298,0.905185434,0.178494266,0.4,0.684931507,0.452237934
0.287292818,0.846282933,0.343526674,0.35,0.671232877,0.406976744,,,0.287292818,0.429602282,0.148911418,0.65,0.698630137,0.187786133
0.419889503,0.315824803,0.739737411,0.4,0.671232877,0.441860465,,,0.243093923,0.29887565,0.293501745,0.85,0.616438356,0.220774307
0.513812155,0.421211613,0.761841449,0.5,0.383561644,0.709302326,,,0,0.511495217,0.339205584,0.3,0.219178082,0.492211356
